,time,region,payment,weekend,category,customer,month,day
0,2020-01-01,Quận 2,73068000,False,C26,73,1,1
1,2020-01-01,Quận Tân Phú,82438000,False,C20,197,1,1
2,2020-01-01,Quận 7,42577000,False,C25,475,1,1
3,2020-01-01,Quận Phú Nhuận,67038000,False,C33,58,1,1
4,2020-01-01,Quận 11,97465000,False,C39,330,1,1
5,2020-01-01,Quận Thủ Đức,63754000,False,C48,93,1,1
6,2020-01-01,Quận 9,97432000,False,C35,2,1,1
7,2020-01-01,Quận Tân Bình,17330000,False,C46,375,1,1
8,2020-01-01,Quận Bình Tân,8880000,False,C15,154,1,1
9,2020-01-01,Quận 11,19231000,False,C20,372,1,1
10,2020-01-01,Quận 1,48654000,False,C4,435,1,1
11,2020-01-01,Quận 7,82312000,False,C43,317,1,1
12,2020-01-01,Quận 11,92033000,False,C37,417,1,1
13,2020-01-01,Quận 1,57880000,False,C27,247,1,1
14,2020-01-01,Quận Bình Tân,88882000,False,C7,287,1,1
15,2020-01-01,Quận 3,85616000,False,C48,94,1,1
16,2020-01-01,Quận 12,83338000,False,C43,17,1,1
17,2020-01-02,Quận 2,41211000,False,C24,294,1,2
18,2020-01-02,Quận 9,4030000,False,C11,9,1,2
19,2020-01-02,Quận 7,57585000,False,C47,116,1,2
20,2020-01-02,Quận 8,54999000,False,C24,442,1,2
21,2020-01-02,Quận Tân Phú,13091000,False,C18,259,1,2
22,2020-01-02,Quận Bình Tân,40951000,False,C36,456,1,2
23,2020-01-02,Quận 8,98779000,False,C46,66,1,2
24,2020-01-02,Quận 1,8541000,False,C7,40,1,2
25,2020-01-02,Quận Gò Vấp,35919000,False,C2,240,1,2
26,2020-01-02,Quận 5,33737000,False,C42,253,1,2
27,2020-01-02,Quận Phú Nhuận,91137000,False,C30,129,1,2
28,2020-01-02,Quận 7,75196000,False,C42,347,1,2
29,2020-01-02,Quận Thủ Đức,55259000,False,C20,90,1,2
30,2020-01-02,Quận Phú Nhuận,2980000,False,C47,219,1,2
31,2020-01-02,Quận 12,2938000,False,C49,260,1,2
32,2020-01-03,Quận 8,14422000,False,C20,21,1,3
33,2020-01-03,Quận 2,51258000,False,C47,225,1,3
34,2020-01-03,Quận Thủ Đức,33286000,False,C29,147,1,3
35,2020-01-03,Quận Phú Nhuận,79672000,False,C49,202,1,3
36,2020-01-03,Quận 3,44344000,False,C32,221,1,3
37,2020-01-03,Quận Bình Thạnh,41674000,False,C29,130,1,3
38,2020-01-03,Quận 10,84762000,False,C39,224,1,3
39,2020-01-03,Quận 3,8508000,False,C4,351,1,3
40,2020-01-03,Quận 7,76529000,False,C16,444,1,3
41,2020-01-03,Quận 6,44038000,False,C20,345,1,3
42,2020-01-03,Quận Bình Tân,92437000,False,C46,357,1,3
43,2020-01-03,Quận Bình Thạnh,91634000,False,C29,498,1,3
44,2020-01-04,Quận 5,46680000,True,C18,250,1,4
45,2020-01-04,Quận Tân Bình,25904000,True,C27,131,1,4
46,2020-01-04,Quận 12,31164000,True,C48,494,1,4
47,2020-01-04,Quận Gò Vấp,46276000,True,C8,159,1,4
48,2020-01-04,Quận 2,14574000,True,C47,23,1,4
49,2020-01-04,Quận Bình Thạnh,39174000,True,C24,78,1,4
50,2020-01-04,Quận Bình Thạnh,80181000,True,C19,428,1,4
51,2020-01-04,Quận 6,35009000,True,C2,134,1,4
52,2020-01-04,Quận 6,67204000,True,C11,114,1,4
53,2020-01-05,Quận Bình Tân,77846000,True,C44,198,1,5
54,2020-01-05,Quận 7,87195000,True,C43,46,1,5
55,2020-01-05,Quận 6,92503000,True,C42,139,1,5
56,2020-01-05,Quận 9,73074000,True,C25,396,1,5
57,2020-01-05,Quận 10,17647000,True,C36,97,1,5
58,2020-01-05,Quận Tân Bình,21958000,True,C40,196,1,5
59,2020-01-05,Quận Tân Bình,31009000,True,C17,252,1,5
60,2020-01-05,Quận 8,25536000,True,C22,473,1,5
61,2020-01-05,Quận 3,96101000,True,C6,288,1,5
62,2020-01-05,Quận 6,40598000,True,C48,52,1,5
63,2020-01-05,Quận 11,59264000,True,C23,215,1,5
64,2020-01-05,Quận Thủ Đức,99612000,True,C37,270,1,5
65,2020-01-05,Quận 12,82071000,True,C27,81,1,5
66,2020-01-05,Quận 1,38933000,True,C49,88,1,5
67,2020-01-05,Quận 3,94499000,True,C47,13,1,5
68,2020-01-05,Quận 4,47136000,True,C22,166,1,5
69,2020-01-05,Quận 4,3839000,True,C15,76,1,5
70,2020-01-05,Quận Bình Tân,70567000,True,C17,372,1,5
71,2020-01-06,Quận 4,22806000,False,C7,156,1,6
72,2020-01-06,Quận Tân Phú,29522000,False,C32,199,1,6
73,2020-01-06,Quận 10,5431000,False,C19,412,1,6
74,2020-01-06,Quận Thủ Đức,73428000,False,C44,36,1,6
