time,region,payment,weekend,category,customer
1/1/2020,Quận 2,73068000,FALSE,C26,73
1/1/2020,Quận Tân Phú,82438000,FALSE,C20,197
1/1/2020,Quận 7,42577000,FALSE,C25,475
1/1/2020,Quận Phú Nhuận,67038000,FALSE,C33,58
1/1/2020,Quận 11,97465000,FALSE,C39,330
1/1/2020,Quận Thủ Đức,63754000,FALSE,C48,93
1/1/2020,Quận 9,97432000,FALSE,C35,2
1/1/2020,Quận Tân Bình,17330000,FALSE,C46,375
1/1/2020,Quận Bình Tân,8880000,FALSE,C15,154
1/1/2020,Quận 11,19231000,FALSE,C20,372
1/1/2020,Quận 1,48654000,FALSE,C4,435
1/1/2020,Quận 7,82312000,FALSE,C43,317
1/1/2020,Quận 11,92033000,FALSE,C37,417
1/1/2020,Quận 1,57880000,FALSE,C27,247
1/1/2020,Quận Bình Tân,88882000,FALSE,C7,287
1/1/2020,Quận 3,85616000,FALSE,C48,94
1/1/2020,Quận 12,83338000,FALSE,C43,17
1/2/2020,Quận 2,41211000,FALSE,C24,294
1/2/2020,Quận 9,4030000,FALSE,C11,9
1/2/2020,Quận 7,57585000,FALSE,C47,116
1/2/2020,Quận 8,54999000,FALSE,C24,442
1/2/2020,Quận Tân Phú,13091000,FALSE,C18,259
1/2/2020,Quận Bình Tân,40951000,FALSE,C36,456
1/2/2020,Quận 8,98779000,FALSE,C46,66
1/2/2020,Quận 1,8541000,FALSE,C7,40
1/2/2020,Quận Gò Vấp,35919000,FALSE,C2,240
1/2/2020,Quận 5,33737000,FALSE,C42,253
1/2/2020,Quận Phú Nhuận,91137000,FALSE,C30,129
1/2/2020,Quận 7,75196000,FALSE,C42,347
1/2/2020,Quận Thủ Đức,55259000,FALSE,C20,90
1/2/2020,Quận Phú Nhuận,2980000,FALSE,C47,219
1/2/2020,Quận 12,2938000,FALSE,C49,260
1/3/2020,Quận 8,14422000,FALSE,C20,21
1/3/2020,Quận 2,51258000,FALSE,C47,225
1/3/2020,Quận Thủ Đức,33286000,FALSE,C29,147
1/3/2020,Quận Phú Nhuận,79672000,FALSE,C49,202
1/3/2020,Quận 3,44344000,FALSE,C32,221
1/3/2020,Quận Bình Thạnh,41674000,FALSE,C29,130
1/3/2020,Quận 10,84762000,FALSE,C39,224
1/3/2020,Quận 3,8508000,FALSE,C4,351
1/3/2020,Quận 7,76529000,FALSE,C16,444
1/3/2020,Quận 6,44038000,FALSE,C20,345
1/3/2020,Quận Bình Tân,92437000,FALSE,C46,357
1/3/2020,Quận Bình Thạnh,91634000,FALSE,C29,498
1/4/2020,Quận 5,46680000,TRUE,C18,250
1/4/2020,Quận Tân Bình,25904000,TRUE,C27,131
1/4/2020,Quận 12,31164000,TRUE,C48,494
1/4/2020,Quận Gò Vấp,46276000,TRUE,C8,159
1/4/2020,Quận 2,14574000,TRUE,C47,23
1/4/2020,Quận Bình Thạnh,39174000,TRUE,C24,78
1/4/2020,Quận Bình Thạnh,80181000,TRUE,C19,428
1/4/2020,Quận 6,35009000,TRUE,C2,134
1/4/2020,Quận 6,67204000,TRUE,C11,114
1/5/2020,Quận Bình Tân,77846000,TRUE,C44,198
1/5/2020,Quận 7,87195000,TRUE,C43,46
1/5/2020,Quận 6,92503000,TRUE,C42,139
1/5/2020,Quận 9,73074000,TRUE,C25,396
1/5/2020,Quận 10,17647000,TRUE,C36,97
1/5/2020,Quận Tân Bình,21958000,TRUE,C40,196
1/5/2020,Quận Tân Bình,31009000,TRUE,C17,252
1/5/2020,Quận 8,25536000,TRUE,C22,473
1/5/2020,Quận 3,96101000,TRUE,C6,288
1/5/2020,Quận 6,40598000,TRUE,C48,52
1/5/2020,Quận 11,59264000,TRUE,C23,215
1/5/2020,Quận Thủ Đức,99612000,TRUE,C37,270
1/5/2020,Quận 12,82071000,TRUE,C27,81
1/5/2020,Quận 1,38933000,TRUE,C49,88
1/5/2020,Quận 3,94499000,TRUE,C47,13
1/5/2020,Quận 4,47136000,TRUE,C22,166
1/5/2020,Quận 4,3839000,TRUE,C15,76
1/5/2020,Quận Bình Tân,70567000,TRUE,C17,372
1/6/2020,Quận 4,22806000,FALSE,C7,156
1/6/2020,Quận Tân Phú,29522000,FALSE,C32,199
1/6/2020,Quận 10,5431000,FALSE,C19,412
1/6/2020,Quận Thủ Đức,73428000,FALSE,C44,36
1/6/2020,Quận 2,89270000,FALSE,C24,31
1/6/2020,Quận 5,94173000,FALSE,C40,354
1/6/2020,Quận 3,21971000,FALSE,C31,419
1/6/2020,Quận Bình Thạnh,21303000,FALSE,C9,76
1/6/2020,Quận Gò Vấp,67389000,FALSE,C44,192
1/6/2020,Quận 9,55348000,FALSE,C37,307
1/6/2020,Quận Tân Bình,77485000,FALSE,C45,366
